District_Name,Commune,historical_1980,rcp4p5_ESM1M,rcp4p5_GEM1M,rcp4p5_CM5A_LR,rcp4p5_MIROC_ESM,rcp8p5_ESM1M,rcp8p5_GEM1M,rcp8p5_CM5A_LR,rcp8p5_MIROC_ESM
Jawa Barat,Kota Depok,0,2528.676628,0,2528.676628,0,2528.676628,0,2528.676628,0
Riau,Kota Dumai,1850.711349,0,1850.711349,1850.711349,1850.711349,1850.711349,1850.711349,1850.711349,1850.711349
Gorontalo,Kota Gorontalo,324.5572662,324.5572662,324.5572662,324.5572662,324.5572662,324.5572662,324.5572662,324.5572662,324.5572662
Sumatera Utara,Kota Gunungsitoli,0,0,0,0,0,0,0,0,0
Dki Jakarta,Kota Jakarta Barat,0,26005.69807,0,26159.25562,0,26005.69807,0,26159.25562,0
Dki Jakarta,Kota Jakarta Pusat,140.2742615,5697.160126,140.2742615,5697.160126,140.2742615,5697.160126,140.2742615,5851.126663,140.2742615
Dki Jakarta,Kota Jakarta Selatan,0,6971.56736,0,6971.56736,0,6971.56736,0,6971.56736,0
Dki Jakarta,Kota Jakarta Timur,698.9670334,131.8796234,0,415.2848816,0,131.8796234,0,532.9855957,0
Dki Jakarta,Kota Jakarta Utara,5958.129478,5680.327309,2275.542183,5289.657707,1111.947121,6155.590813,1708.522285,6310.516106,717.0834656
Jambi,Kota Jambi,116.7442551,116.7442551,116.7442551,171.6624069,116.7442551,171.6624069,116.7442551,171.6624069,116.7442551
Papua,Kota Jayapura,1031.649986,1031.649986,1031.649986,1031.649986,1031.649986,1031.649986,1031.649986,1031.649986,1031.649986
Jawa Timur,Kota Kediri,619.337719,619.337719,619.337719,619.337719,619.337719,619.337719,619.337719,819.5220222,619.337719
Sulawesi Tenggara,Kota Kendari,1422.255299,1422.255299,1327.986729,1422.255299,1422.255299,1422.255299,1422.255299,1422.255299,1422.255299
Sulawesi Utara,Kota Kotamobagu,0,0,0,0,0,0,0,0,0
Nusa Tenggara Timur,Kota Kupang,0,339.5827217,0,339.5827217,339.5827217,339.5827217,0,339.5827217,0
Aceh,Kota Langsa,1188.98003,1188.98003,1188.98003,1243.164581,1188.98003,1243.164581,1243.164581,1243.164581,1188.98003
Aceh,Kota Lhokseumawe,107.2026787,358.5845737,107.2026787,358.5845737,107.2026787,358.5845737,358.5845737,358.5845737,107.2026787
Sumatera Selatan,Kota Lubuklinggau,0,0,0,0,0,0,0,0,0
Jawa Timur,Kota Madiun,478.4672108,478.4672108,478.4672108,616.9859028,478.4672108,478.4672108,478.4672108,771.9687214,478.4672108
Jawa Tengah,Kota Magelang,0,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kota Makassar,12286.98439,12286.98439,12286.98439,12286.98439,12286.98439,12286.98439,12286.98439,12286.98439,12286.98439
Jawa Timur,Kota Malang,0,0,0,0,0,0,0,0,0
Sulawesi Utara,Kota Manado,1593.44511,1593.44511,1593.44511,1593.44511,1593.44511,1593.44511,1593.44511,1593.44511,1593.44511
Nusa Tenggara Barat,Kota Mataram,0,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Medan,3696.992317,3696.992317,3696.992317,3864.15612,3696.992317,3864.15612,3696.992317,3864.15612,3696.992317
Lampung,Kota Metro,0,0,0,0,0,0,0,0,0
Jawa Timur,Kota Mojokerto,962.4049263,962.4049263,962.4049263,962.4049263,962.4049263,962.4049263,911.661953,1101.65749,962.4049263
Sumatera Barat,Kota Padang,7803.818926,7803.818926,7803.818926,7803.818926,7803.818926,7803.818926,7803.818926,7803.818926,7803.818926
Sumatera Barat,Kota Padang Panjang,0,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Padangsidimpuan,0,0,0,0,0,0,0,0,0
Sumatera Selatan,Kota Pagar Alam,0,0,0,0,0,0,0,0,0
Kalimantan Tengah,Kota Palangka Raya,504.0500298,504.0500298,450.2000141,504.0500298,504.0500298,455.2108784,450.2000141,527.5410194,504.0500298
Sumatera Selatan,Kota Palembang,2859.086466,2738.958452,2738.958452,3772.107721,2859.086466,2738.958452,2875.378664,5814.227394,2859.086466
Sulawesi Selatan,Kota Palopo,383.8034897,451.2277222,451.2277222,451.2277222,383.8034897,383.8034897,451.2277222,451.2277222,383.8034897
Sulawesi Tengah,Kota Palu,267.8485489,267.8485489,267.8485489,267.8485489,267.8485489,267.8485489,267.8485489,267.8485489,267.8485489
Kepulauan Bangka Belitung,Kota Pangkal Pinang,0,255.5418434,0,346.4834671,0,0,0,346.4834671,0
Sulawesi Selatan,Kota Parepare,246.9939499,246.9939499,246.9939499,246.9939499,246.9939499,246.9939499,246.9939499,246.9939499,246.9939499
Sumatera Barat,Kota Pariaman,631.7025318,631.7025318,631.7025318,631.7025318,631.7025318,631.7025318,631.7025318,631.7025318,631.7025318
Jawa Timur,Kota Pasuruan,0,0,0,0,0,0,0,0,0
Sumatera Barat,Kota Payakumbuh,55.15968895,55.15968895,55.15968895,55.15968895,55.15968895,55.15968895,55.15968895,55.15968895,55.15968895
Jawa Tengah,Kota Pekalongan,2053.149235,2053.149235,0,2053.149235,2053.149235,2053.149235,0,2053.149235,2053.149235
Riau,Kota Pekanbaru,186.7426834,143.727108,186.7426834,2924.649878,186.7426834,186.7426834,186.7426834,2924.649878,186.7426834
Sumatera Utara,Kota Pematang Siantar,0,0,0,0,0,0,0,0,0
Kalimantan Barat,Kota Pontianak,1619.197067,1619.197067,1374.770988,1786.952389,1619.197067,1552.324715,1619.197067,1970.712685,1619.197067
Sumatera Selatan,Kota Prabumulih,0,0,0,0,0,0,0,0,0
Jawa Timur,Kota Probolinggo,0,0,0,0,0,0,0,0,0
Aceh,Kota Sabang,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,0,0,0,0,0,0,0,0,0
Kalimantan Timur,Kota Samarinda,547.5689468,547.5689468,583.6320305,583.6320305,547.5689468,510.4228287,707.7475853,583.6320305,547.5689468
Sumatera Barat,Kota Sawah Lunto,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Semarang,583.4407654,583.4407654,0,583.4407654,583.4407654,583.4407654,0,583.4407654,583.4407654
Banten,Kota Serang,0,0,0,0,0,0,0,37.15358734,0
Sumatera Utara,Kota Sibolga,0,0,0,0,0,0,0,0,0
Kalimantan Barat,Kota Singkawang,137.8377266,137.8377266,137.8377266,137.8377266,137.8377266,137.8377266,137.8377266,137.8377266,137.8377266
